class,height,shoe,hand,sleep,sport,pet
1,161,37,16.5,7,1,3
1,169,41,18.5,6,0,0
1,165,40,16.5,5,0,0
1,178,39,19,7,0,0
1,162,38,17,7,0,0
1,175,44,19,5,1,2
1,172,38,17,6,0,0
1,160,39,18,8,0,2
1,171,42,19.2,8,0,0
1,178,45,19.8,6.5,1,0
1,158,39,17.4,9,1,1
1,193,46,21,5.5,0,0
2,170,39,18,8,1,0
2,171,39,19,6,1,0
2,163,38,16.5,7.5,1,0
2,166,41,17.5,8,0,0
2,172,39,18,7,0,0
2,167,38.5,17,3,0,2
2,159,38,17.5,6,1,3
2,164,38.5,17.5,8,0,0
2,174,41,19,9,0,0
2,169,39,17.8,7,0,
2,162,39,,7,0,0
2,195,45.5,19.8,6.5,0,0
2,167,39.5,17.5,7,0,0
2,153,37.5,16.5,7.5,0,0
